project_id,project_name,primary_site,disease_type,case_count,miRNA-Seq_case_count,RNA-Seq_case_count
TARGET-AML,Acute Myeloid Leukemia,"['Unknown', 'Hematopoietic and reticuloendothelial systems']","['Not Applicable', 'Myeloid Leukemias']",2492,1836,2280
HCMI-CMDC,NCI Cancer Model Development for the Human Cancer Model Initiative,"['Breast', 'Rectum', 'Nasal cavity and middle ear', 'Bronchus and lung', 'Other and unspecified parts of tongue', 'Gallbladder', 'Other and unspecified parts of mouth', 'Brain', 'Uterus, NOS', 'Other and unspecified parts of biliary tract', 'Connective, subcutaneous and other soft tissues', 'Small intestine', 'Bones, joints and articular cartilage of other and unspecified sites', 'Skin', 'Rectosigmoid junction', 'Other and ill-defined sites', 'Pancreas', 'Corpus uteri', 'Ovary', 'Liver and intrahepatic bile ducts', 'Kidney', 'Esophagus', 'Colon', 'Stomach']","['Cystic, Mucinous and Serous Neoplasms', 'Ductal and Lobular Neoplasms', 'Adenomas and Adenocarcinomas', 'Complex Mixed and Stromal Neoplasms', 'Miscellaneous Bone Tumors', 'Acinar Cell Neoplasms', 'Osseous and Chondromatous Neoplasms', 'Blood Vessel Tumors', 'Fibromatous Neoplasms', 'Squamous Cell Neoplasms', 'Nevi and Melanomas', 'Soft Tissue Tumors and Sarcomas, NOS', 'Myomatous Neoplasms', 'Epithelial Neoplasms, NOS', 'Gliomas', 'Complex Epithelial Neoplasms']",278,271,277
TCGA-PCPG,Pheochromocytoma and Paraganglioma,"['Other endocrine glands and related structures', 'Heart, mediastinum, and pleura', 'Connective, subcutaneous and other soft tissues', 'Spinal cord, cranial nerves, and other parts of central nervous system', 'Retroperitoneum and peritoneum', 'Adrenal gland', 'Other and ill-defined sites']",['Paragangliomas and Glomus Tumors'],179,179,179
TCGA-THYM,Thymoma,"['Heart, mediastinum, and pleura', 'Thymus']",['Thymic Epithelial Neoplasms'],124,124,120
TCGA-PAAD,Pancreatic Adenocarcinoma,['Pancreas'],"['Cystic, Mucinous and Serous Neoplasms', 'Ductal and Lobular Neoplasms', 'Adenomas and Adenocarcinomas', 'Epithelial Neoplasms, NOS']",185,178,178
TCGA-STAD,Stomach Adenocarcinoma,['Stomach'],"['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas']",443,436,415
TCGA-TGCT,Testicular Germ Cell Tumors,['Testis'],['Germ Cell Neoplasms'],263,150,150
TCGA-SARC,Sarcoma,"['Bones, joints and articular cartilage of limbs', 'Uterus, NOS', 'Corpus uteri', 'Other and unspecified male genital organs', 'Other and unspecified parts of tongue', 'Meninges', 'Colon', 'Kidney', 'Connective, subcutaneous and other soft tissues', 'Stomach', 'Retroperitoneum and peritoneum', 'Ovary', 'Peripheral nerves and autonomic nervous system']","['Lipomatous Neoplasms', 'Synovial-like Neoplasms', 'Fibromatous Neoplasms', 'Nerve Sheath Tumors', 'Myomatous Neoplasms', 'Soft Tissue Tumors and Sarcomas, NOS']",261,259,259
TCGA-PRAD,Prostate Adenocarcinoma,['Prostate gland'],"['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms']",500,494,497
TCGA-READ,Rectum Adenocarcinoma,"['Rectum', 'Rectosigmoid junction', 'Unknown', 'Colon', 'Connective, subcutaneous and other soft tissues']","['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas']",172,161,167
TCGA-UCS,Uterine Carcinosarcoma,"['Uterus, NOS']",['Complex Mixed and Stromal Neoplasms'],57,57,57
TCGA-UVM,Uveal Melanoma,['Eye and adnexa'],['Nevi and Melanomas'],80,80,80
REBC-THYR,Comprehensive genomic characterization of radiation-related papillary thyroid cancer in the Ukraine,['Thyroid gland'],"['Adenomas and Adenocarcinomas', 'Epithelial Neoplasms, NOS']",449,437,438
TARGET-ALL-P2,Acute Lymphoblastic Leukemia - Phase II,['Hematopoietic and reticuloendothelial systems'],['Lymphoid Leukemias'],1587,191,469
TARGET-ALL-P3,Acute Lymphoblastic Leukemia - Phase III,"['Hematopoietic and reticuloendothelial systems', 'Unknown']","['Lymphoid Leukemias', 'Not Applicable', 'Leukemias, NOS', 'Myeloid Leukemias']",191,38,110
MP2PRT-WT,Molecular Profiling to Predict Response to Treatment - Wilms Tumor,['Kidney'],"['Neoplasms, NOS']",52,52,52
TCGA-KICH,Kidney Chromophobe,['Kidney'],['Adenomas and Adenocarcinomas'],113,66,66
TCGA-HNSC,Head and Neck Squamous Cell Carcinoma,"['Larynx', 'Oropharynx', 'Other and unspecified parts of mouth', 'Base of tongue', 'Lip', 'Tonsil', 'Floor of mouth', 'Other and unspecified parts of tongue', 'Hypopharynx', 'Gum', 'Other and ill-defined sites in lip, oral cavity and pharynx', 'Bones, joints and articular cartilage of other and unspecified sites', 'Palate']",['Squamous Cell Neoplasms'],528,524,521
TCGA-LUAD,Lung Adenocarcinoma,['Bronchus and lung'],"['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Acinar Cell Neoplasms']",585,513,517
TCGA-LIHC,Liver Hepatocellular Carcinoma,['Liver and intrahepatic bile ducts'],['Adenomas and Adenocarcinomas'],377,373,371
TCGA-LUSC,Lung Squamous Cell Carcinoma,['Bronchus and lung'],['Squamous Cell Neoplasms'],504,478,501
TCGA-MESO,Mesothelioma,"['Bronchus and lung', 'Heart, mediastinum, and pleura']",['Mesothelial Neoplasms'],87,87,87
TCGA-LAML,Acute Myeloid Leukemia,['Hematopoietic and reticuloendothelial systems'],['Myeloid Leukemias'],200,188,151
TCGA-LGG,Brain Lower Grade Glioma,['Brain'],['Gliomas'],516,512,516
TCGA-KIRP,Kidney Renal Papillary Cell Carcinoma,['Kidney'],['Adenomas and Adenocarcinomas'],291,291,290
TCGA-KIRC,Kidney Renal Clear Cell Carcinoma,['Kidney'],['Adenomas and Adenocarcinomas'],537,516,533
CGCI-BLGSP,Burkitt Lymphoma Genome Sequencing Project,['Hematopoietic and reticuloendothelial systems'],['Mature B-Cell Lymphomas'],324,278,283
CGCI-HTMCP-CC,HIV+ Tumor Molecular Characterization Project - Cervical Cancer,['Cervix uteri'],"['Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Complex Epithelial Neoplasms', 'Epithelial Neoplasms, NOS']",212,118,123
CGCI-HTMCP-DLBCL,HIV+ Tumor Molecular Characterization Project - Diffuse Large B-Cell Lymphoma,['Hematopoietic and reticuloendothelial systems'],['Mature B-Cell Lymphomas'],70,60,55
CGCI-HTMCP-LC,HIV+ Tumor Molecular Characterization Project - Lung Cancer,['Bronchus and lung'],"['Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Neoplasms, NOS', 'Paragangliomas and Glomus Tumors', 'Adenomas and Adenocarcinomas']",39,37,38
TCGA-ACC,Adrenocortical Carcinoma,['Adrenal gland'],['Adenomas and Adenocarcinomas'],92,80,79
TARGET-WT,High-Risk Wilms Tumor,['Kidney'],['Complex Mixed and Stromal Neoplasms'],652,127,125
TCGA-BLCA,Bladder Urothelial Carcinoma,['Bladder'],"['Transitional Cell Papillomas and Carcinomas', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Epithelial Neoplasms, NOS']",412,409,406
TARGET-RT,Rhabdoid Tumor,"['Lip', 'Liver and intrahepatic bile ducts', 'Kidney']",['Complex Mixed and Stromal Neoplasms'],69,66,63
TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,"['Hematopoietic and reticuloendothelial systems', 'Breast', 'Lymph nodes', 'Colon', 'Small intestine', 'Brain', 'Other and unspecified major salivary glands', 'Testis', 'Retroperitoneum and peritoneum', 'Connective, subcutaneous and other soft tissues', 'Stomach', 'Bones, joints and articular cartilage of other and unspecified sites', 'Thyroid gland', 'Heart, mediastinum, and pleura']","['Mature B-Cell Lymphomas', 'Not Reported']",58,47,48
TCGA-CHOL,Cholangiocarcinoma,"['Liver and intrahepatic bile ducts', 'Other and unspecified parts of biliary tract', 'Gallbladder']",['Adenomas and Adenocarcinomas'],51,36,36
TCGA-CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,['Cervix uteri'],"['Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Complex Epithelial Neoplasms', 'Adenomas and Adenocarcinomas']",307,307,304
TCGA-COAD,Colon Adenocarcinoma,"['Colon', 'Rectosigmoid junction']","['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Complex Epithelial Neoplasms', 'Epithelial Neoplasms, NOS']",461,444,458
CPTAC-3,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus","['Uterus, NOS', 'Other and unspecified urinary organs', 'Breast', 'Pancreas', 'Unknown', 'Bronchus and lung', 'Colon', 'Other and ill-defined sites', 'Brain', 'Kidney']","['Lipomatous Neoplasms', 'Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Transitional Cell Papillomas and Carcinomas', 'Complex Mixed and Stromal Neoplasms', 'Complex Epithelial Neoplasms', 'Gliomas', 'Nevi and Melanomas', 'Not Applicable', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms']",1345,1316,1342
TCGA-BRCA,Breast Invasive Carcinoma,['Breast'],"['Squamous Cell Neoplasms', 'Adnexal and Skin Appendage Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Fibroepithelial Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Basal Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms']",1098,1079,1095
TCGA-ESCA,Esophageal Carcinoma,"['Stomach', 'Esophagus']","['Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas']",185,184,184
TCGA-GBM,Glioblastoma Multiforme,['Brain'],"['Gliomas', 'Not Reported']",617,13,168
CPTAC-2,"CPTAC-Breast, Colon, Ovary","['Rectum', 'Breast', 'Other and unspecified female genital organs', 'Colon', 'Retroperitoneum and peritoneum', 'Ovary']","['Squamous Cell Neoplasms', 'Not Reported', 'Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms']",342,310,340
TCGA-OV,Ovarian Serous Cystadenocarcinoma,['Ovary'],"['Not Reported', 'Cystic, Mucinous and Serous Neoplasms']",608,489,422
TCGA-THCA,Thyroid Carcinoma,['Thyroid gland'],"['Epithelial Neoplasms, NOS', 'Adenomas and Adenocarcinomas']",507,506,505
