accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000062,hsa-let-7a-5p,CCNJL,-0.3125136691696434,0.0016045592039717
MIMAT0000064,hsa-let-7c-5p,ADIPOR2,-0.3256725231464605,0.0010415742525681
MIMAT0000064,hsa-let-7c-5p,E2F2,-0.3541955238025807,0.0003816841159492
MIMAT0000064,hsa-let-7c-5p,BZW1,-0.3042574907049646,0.0020841400788567
MIMAT0000064,hsa-let-7c-5p,JOSD1,-0.3309214842895677,0.0008719723472377
MIMAT0000064,hsa-let-7c-5p,SLC1A4,-0.3430779324925275,0.0005708373154989
MIMAT0000064,hsa-let-7c-5p,MRS2,-0.3184916526937376,0.0013216768164934
MIMAT0000064,hsa-let-7c-5p,EIF2S2,-0.4169278996865203,2.945521309969676e-05
MIMAT0000064,hsa-let-7c-5p,IGF1R,-0.3884231245899248,0.0001005386781707
MIMAT0000064,hsa-let-7c-5p,FARP1,-0.3186556827294597,0.0013145894751213
MIMAT0000064,hsa-let-7c-5p,RANBP2,-0.3048771597288036,0.0020441499710049
MIMAT0000064,hsa-let-7c-5p,RNF20,-0.3162316833126776,0.0014228778438631
MIMAT0000064,hsa-let-7c-5p,CCNF,-0.3228111103010863,0.0011460516001954
MIMAT0000064,hsa-let-7c-5p,RPUSD2,-0.3270758912298607,0.0009935389349769
MIMAT0000065,hsa-let-7d-5p,P4HA2,-0.3110738499671939,0.0016803156761747
MIMAT0000065,hsa-let-7d-5p,NKD1,-0.3374477721465194,0.000696052825472
MIMAT0000065,hsa-let-7d-5p,SESN3,-0.3000838375738135,0.0023721284603621
MIMAT0000065,hsa-let-7d-5p,BSN,-0.3268207333965152,0.0010021212149041
MIMAT0000065,hsa-let-7d-5p,CRTAP,-0.3029817015382371,0.0021686745015975
MIMAT0000065,hsa-let-7d-5p,COL4A6,-0.3395786250637894,0.0006459989004877
MIMAT0000065,hsa-let-7d-5p,ITSN1,-0.3783990668513523,0.0001508856761409
MIMAT0000066,hsa-let-7e-5p,TNFRSF1B,-0.3434788948020704,0.0005627526408019
MIMAT0000066,hsa-let-7e-5p,P2RX1,-0.3942735291973463,7.884911431636587e-05
MIMAT0000066,hsa-let-7e-5p,CD86,-0.3677735656484653,0.0002288062999996
MIMAT0000066,hsa-let-7e-5p,FASLG,-0.3198509142471154,0.0012639681151511
MIMAT0000066,hsa-let-7e-5p,SYT11,-0.3256178464678865,0.0010434874002425
MIMAT0000066,hsa-let-7e-5p,IL10,-0.3245607640154552,0.0010811025431587
MIMAT0000066,hsa-let-7e-5p,SLC5A6,-0.4296128891156958,1.644446119893837e-05
MIMAT0000066,hsa-let-7e-5p,PARP8,-0.3220820879200991,0.0011741343751167
MIMAT0000066,hsa-let-7e-5p,CD200R1,-0.3724939855653568,0.0001905016745528
MIMAT0000066,hsa-let-7e-5p,ANKRD33B,-0.3069001968360428,0.0019183124036013
MIMAT0000066,hsa-let-7e-5p,PTAFR,-0.3290260260990011,0.0009301033804228
MIMAT0000066,hsa-let-7e-5p,OLR1,-0.3260188087774294,0.0010295308541721
MIMAT0000066,hsa-let-7e-5p,SLC9A9,-0.3091342364171315,0.0017874218737162
MIMAT0000066,hsa-let-7e-5p,GPR132,-0.3166690967412699,0.0014027646892368
MIMAT0000066,hsa-let-7e-5p,SOCS1,-0.3151381497411969,0.0014742967205906
MIMAT0000066,hsa-let-7e-5p,GRIN3A,-0.3514632912813114,0.0004219428083137
MIMAT0000067,hsa-let-7f-5p,CCNJL,-0.3407815119924181,0.0006192061746754
MIMAT0000067,hsa-let-7f-5p,TMPRSS2,-0.3001567398119121,0.0023668089563762
MIMAT0000068,hsa-miR-15a-5p,WNT2B,-0.3236236222586915,0.0011154659397388
MIMAT0000068,hsa-miR-15a-5p,EPHA1,-0.3071553546693883,0.0019029422334953
MIMAT0000068,hsa-miR-15a-5p,AGPAT3,-0.3107275643362251,0.0016990061238312
MIMAT0000069,hsa-miR-16-5p,C2orf42,-0.3068090690384194,0.0019238285384231
MIMAT0000069,hsa-miR-16-5p,UBXN10,-0.3065721367645986,0.0019382367838073
MIMAT0000069,hsa-miR-16-5p,PDLIM5,-0.302143325800102,0.0022258749607937
MIMAT0000069,hsa-miR-16-5p,PRR15L,-0.3017241379310345,0.0022549756027925
MIMAT0000069,hsa-miR-16-5p,ING2,-0.3131515637530072,0.0015719845304888
MIMAT0000069,hsa-miR-16-5p,ZHX3,-0.3273128235036815,0.0009856290610374
MIMAT0000069,hsa-miR-16-5p,DLL1,-0.3488554348618502,0.0004639389902815
MIMAT0000070,hsa-miR-17-5p,CROT,-0.3040570095501931,0.0020972264889499
MIMAT0000070,hsa-miR-17-5p,LIMA1,-0.3769592476489027,0.000159776387879
MIMAT0000070,hsa-miR-17-5p,ESR1,-0.387566523292265,0.0001041408992193
MIMAT0000070,hsa-miR-17-5p,AGFG2,-0.3899540715899978,9.438557000937551e-05
MIMAT0000070,hsa-miR-17-5p,SLC1A2,-0.3120762557410512,0.0016272439538879
MIMAT0000070,hsa-miR-17-5p,RASGRF2,-0.37344171466064,0.0001835597847708
MIMAT0000070,hsa-miR-17-5p,TUSC2,-0.3159400743602828,0.0014364298914818
MIMAT0000070,hsa-miR-17-5p,RGS4,-0.3322534640146395,0.0008331072764928
MIMAT0000070,hsa-miR-17-5p,F3,-0.3401253918495297,0.0006336927582282
MIMAT0000070,hsa-miR-17-5p,CRY2,-0.3106911132171757,0.0017009843129993
MIMAT0000070,hsa-miR-17-5p,DNAJB9,-0.4780928774513377,1.4123950889786297e-06
MIMAT0000070,hsa-miR-17-5p,IL6ST,-0.3609572063862359,0.0002966560087799
MIMAT0000070,hsa-miR-17-5p,RAB30,-0.3010693895807915,0.0023011068030031
MIMAT0000070,hsa-miR-17-5p,SLC40A1,-0.3470511044689072,0.0004951844882336
MIMAT0000070,hsa-miR-17-5p,PRKACB,-0.3760297441131442,0.0001657691214509
MIMAT0000070,hsa-miR-17-5p,DAB2,-0.3391229860756725,0.0006564190622737
MIMAT0000070,hsa-miR-17-5p,JAZF1,-0.3653313406721585,0.0002512829547132
MIMAT0000070,hsa-miR-17-5p,BTG2,-0.3481628635999125,0.0004757136161116
MIMAT0000070,hsa-miR-17-5p,FAM131B,-0.3286068382299336,0.0009434221838667
MIMAT0000070,hsa-miR-17-5p,ZNF385A,-0.3399795873733323,0.0006369534400579
MIMAT0000070,hsa-miR-17-5p,SMIM14,-0.3073922869432091,0.0018887684440988
MIMAT0000070,hsa-miR-17-5p,FYCO1,-0.4045527447692643,5.08808951563763e-05
MIMAT0000070,hsa-miR-17-5p,ARHGEF3,-0.4055916016621709,4.863862550165576e-05
MIMAT0000070,hsa-miR-17-5p,CREBRF,-0.3197309907414157,0.0012689669651345
MIMAT0000070,hsa-miR-17-5p,GALNT10,-0.3921775898520084,8.606600764798402e-05
MIMAT0000070,hsa-miR-17-5p,ZBTB4,-0.4534519209739738,5.153290828416426e-06
MIMAT0000072,hsa-miR-18a-5p,JADE2,-0.3221185390391484,0.0011727156720123
MIMAT0000072,hsa-miR-18a-5p,RORA,-0.3441350149449588,0.0005497471758718
MIMAT0000072,hsa-miR-18a-5p,ESR1,-0.3457753153021797,0.0005184191672003
MIMAT0000072,hsa-miR-18a-5p,CREBL2,-0.3703615951009695,0.0002070106749368
MIMAT0000072,hsa-miR-18a-5p,MDGA1,-0.3182182693008675,0.001333565308314
MIMAT0000072,hsa-miR-18a-5p,STAM2,-0.3130239848363345,0.0015784516963893
MIMAT0000072,hsa-miR-18a-5p,YPEL5,-0.4239447401035211,2.1398527556336785e-05
MIMAT0000072,hsa-miR-18a-5p,ATXN1,-0.3564008165050666,0.0003517794641367
MIMAT0000072,hsa-miR-18a-5p,PLXNC1,-0.3053874753954946,0.0020117320203114
MIMAT0000072,hsa-miR-18a-5p,PRKACB,-0.3642560326602026,0.000261806041528
MIMAT0000072,hsa-miR-18a-5p,ADD3,-0.3060618210979077,0.0019695973732414
MIMAT0000072,hsa-miR-18a-5p,IRF2,-0.3040752351097178,0.0020960337974603
MIMAT0000072,hsa-miR-18a-5p,ALCAM,-0.3282970037180141,0.0009533768329221
MIMAT0000072,hsa-miR-18a-5p,KCND3,-0.3527921557191806,0.0004019027121205
MIMAT0000072,hsa-miR-18a-5p,ZBTB4,-0.5322227892396295,5.621226668083954e-08
MIMAT0000072,hsa-miR-18a-5p,ORAI3,-0.5449442297878544,2.4209814225158497e-08
MIMAT0000073,hsa-miR-19a-3p,SCN1B,-0.3761026463512429,0.0001652917420712
MIMAT0000073,hsa-miR-19a-3p,DIPK1A,-0.3934533790187358,8.160376347416885e-05
MIMAT0000073,hsa-miR-19a-3p,ZBTB4,-0.4610337537362396,3.4973409843478108e-06
MIMAT0000074,hsa-miR-19b-3p,SCN1B,-0.3388860538018517,0.0006618975344526
MIMAT0000074,hsa-miR-19b-3p,DIPK1A,-0.3621965444339141,0.0002830941600584
MIMAT0000074,hsa-miR-19b-3p,EIF4E3,-0.3311584165633884,0.000864941540997
MIMAT0000074,hsa-miR-19b-3p,ZBTB4,-0.4047896770430851,5.036122479823952e-05
MIMAT0000075,hsa-miR-20a-5p,LIMA1,-0.3598089961361813,0.0003097480368185
MIMAT0000075,hsa-miR-20a-5p,NTN4,-0.4004884449952613,6.060607544255844e-05
MIMAT0000075,hsa-miR-20a-5p,ESR1,-0.3915579208281693,8.831374497663501e-05
MIMAT0000075,hsa-miR-20a-5p,AGFG2,-0.3822446599110592,0.0001293223065227
MIMAT0000075,hsa-miR-20a-5p,SLC1A2,-0.322027411241525,0.0011762653238998
MIMAT0000075,hsa-miR-20a-5p,RASGRF2,-0.3651126339578624,0.0002533913352095
MIMAT0000075,hsa-miR-20a-5p,TUSC2,-0.3292265072537726,0.0009237936895607
MIMAT0000075,hsa-miR-20a-5p,RGS4,-0.3100637441880994,0.0017353556912272
MIMAT0000075,hsa-miR-20a-5p,IL6ST,-0.3240686739082889,0.0010990259430374
MIMAT0000075,hsa-miR-20a-5p,SLC40A1,-0.3178355325508492,0.0013503704577568
MIMAT0000075,hsa-miR-20a-5p,PRKACB,-0.3560909819931471,0.0003558476363199
MIMAT0000075,hsa-miR-20a-5p,NCEH1,-0.3742618648392505,0.0001777406753553
MIMAT0000075,hsa-miR-20a-5p,DAB2,-0.3061711744550557,0.0019628394028929
MIMAT0000075,hsa-miR-20a-5p,JAZF1,-0.3584420791718304,0.0003260211310462
MIMAT0000075,hsa-miR-20a-5p,C2CD2,-0.3122402857767733,0.0016187037599581
MIMAT0000075,hsa-miR-20a-5p,ZNF385A,-0.3452649996354887,0.0005279872433557
MIMAT0000075,hsa-miR-20a-5p,FYCO1,-0.386327185244587,0.0001095636882888
MIMAT0000075,hsa-miR-20a-5p,ARHGEF3,-0.3681198512794342,0.0002257729083672
MIMAT0000075,hsa-miR-20a-5p,GALNT10,-0.3502041262666763,0.0004417673794365
MIMAT0000076,hsa-miR-21-5p,NFIA,-0.3745352482321207,0.0001758389452054
MIMAT0000077,hsa-miR-22-3p,RFXANK,-0.3420937522781949,0.0005911304558186
MIMAT0000077,hsa-miR-22-3p,FBXO46,-0.4296675657942698,1.6402365880902662e-05
MIMAT0000078,hsa-miR-23a-3p,ZBTB16,-0.4394729168185462,1.0283828629499424e-05
MIMAT0000078,hsa-miR-23a-3p,CBFA2T3,-0.3437994085814674,0.000556364987532
MIMAT0000078,hsa-miR-23a-3p,STON2,-0.3107822410147991,0.0016960426970251
MIMAT0000078,hsa-miR-23a-3p,HSPA12A,-0.3410731209448129,0.0006128646411856
MIMAT0000078,hsa-miR-23a-3p,PKIA,-0.3788182547204198,0.0001483841097774
MIMAT0000078,hsa-miR-23a-3p,SLIT1,-0.3042574907049646,0.0020841400788567
MIMAT0000078,hsa-miR-23a-3p,PNRC2,-0.303218633812058,0.002152748169018
MIMAT0000078,hsa-miR-23a-3p,TMEM170B,-0.3289713494204271,0.0009318309404151
MIMAT0000078,hsa-miR-23a-3p,CEBPA,-0.3583327258146825,0.0003273561285883
MIMAT0000080,hsa-miR-24-3p,CAMK2B,-0.4252498052178592,2.0148026981828065e-05
MIMAT0000080,hsa-miR-24-3p,SESN1,-0.3685025880294524,0.0002224631255437
MIMAT0000080,hsa-miR-24-3p,STRADB,-0.3022162280382007,0.002220848239575
MIMAT0000080,hsa-miR-24-3p,LYRM1,-0.3442261427425821,0.0005479626137809
MIMAT0000080,hsa-miR-24-3p,KMT5C,-0.4181672377341983,2.785308104397505e-05
MIMAT0000080,hsa-miR-24-3p,RNF165,-0.3520084566596194,0.0004136137730406
MIMAT0000080,hsa-miR-24-3p,SFXN5,-0.4381424509732448,1.0965627901879145e-05
